N,P,K,temperature,humidity,ph,rainfall,label
19,15,34,26.29644905,99.65809151,5.685889066,215.9195049,4
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954,14
19,17,39,24.72485577,85.56083187,6.728599215,111.2787584,19
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,2
1,30,29,28.33333307,51.39586505,6.434197756,91.67241761,12
35,52,19,27.10606808,89.89593328,6.698574085,37.45680611,14
117,30,50,24.90123934,87.20772913,6.744966312,46.59207341,21
36,68,20,17.06104474,23.77201471,5.86442953,81.83420522,9
22,8,33,28.43572863,95.8840407,5.665785202,203.9283708,4
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,14
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,11
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,11
111,39,22,22.60361557,80.3509046,6.135025006,88.57395505,6
7,141,195,23.8812458,93.45067555,5.514253142,104.9116663,0
109,10,53,26.81938687,87.8274604,6.551750306,46.06193778,21
100,40,20,22.45145981,76.25674874,7.432043735,86.84998693,6
116,25,50,29.26092798,92.92367701,6.088885814,28.70627683,15
38,138,204,25.11108456,83.25447587,6.325480034,73.01026829,7
33,138,198,22.29423493,90.69033986,6.222390798,122.7418744,0
8,28,38,23.22594,94.42971362,6.8444019,105.6917856,19
23,23,27,34.72413192,51.4271781,5.161148592,97.31258083,12
98,26,49,27.29035669,90.53330091,6.130160473,23.49535234,15
84,21,55,28.47090661,94.79453182,6.494251024,21.08484101,15
1,124,199,23.71059131,93.27392415,5.658473817,112.6676589,0
17,43,22,30.06142622,45.90067655,5.498340808,41.0550915,13
98,27,27,24.71384065,51.29142534,7.238109556,197.6439711,5
87,28,35,26.5602777,57.1621814,6.759211911,152.0616227,5
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,20
35,58,20,29.38538562,63.47742011,5.761702519,90.05422663,18
40,64,47,32.50037548,93.47888842,6.893509446,71.73759526,17
33,14,35,27.14865285,96.66355213,6.027707171,149.2433497,4
91,25,26,24.53460016,66.99765375,7.482414225,180.5059257,5
66,47,36,24.85441411,74.4407048,6.57256106,175.572958,8
40,70,20,31.80130272,45.03186173,5.623490043,147.0361442,18
81,34,30,25.17787724,62.26244581,6.647765997,135.0119649,5
102,71,48,28.65456263,79.28693687,5.695267822,102.4633775,1
19,35,24,27.11030369,83.64274107,6.883308033,49.11964582,14
29,63,17,30.02629908,67.88811637,7.26154329,66.47264636,2
118,44,23,22.08458267,82.82904143,6.691690476,67.06459777,6
7,144,195,22.96388477,93.58065995,5.85648105,104.6472986,0
72,51,40,23.20683504,74.09956958,7.422318499,199.4766779,8
6,128,200,25.96308415,82.57813624,5.838748311,70.31782647,7
30,61,18,27.14911056,67.02664337,6.157782589,52.50812701,10
93,22,52,26.58740671,81.32563243,6.932739726,41.87540028,21
83,38,35,25.70822684,52.88667115,7.18915558,136.7325092,5
116,23,25,23.4123707,52.26994674,6.869720196,139.3670753,5
44,57,53,42.30495821,90.51431779,6.93172108,74.876786,17
103,40,30,27.30901814,55.196224,6.348316257,141.4831644,5
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,20
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,14
5,65,16,21.32776028,18.48522915,5.866744372,109.1013261,9
34,56,17,33.4126864,35.42910045,4.548202098,139.6702541,18
101,25,52,29.09910406,94.22237826,6.750145572,22.52497327,15
100,56,40,26.38905406,83.31240346,7.433313409,176.1516409,8
92,20,55,25.10474753,87.5267616,6.587791262,59.26519444,21
38,135,203,41.36106301,82.79782954,6.444373116,69.92107482,7
21,6,41,24.88244467,89.39686219,7.086947687,107.1951707,19
63,47,35,26.98582182,89.05587886,7.432768147,193.8778713,8
33,121,203,22.45696744,94.76285385,5.605934087,114.8407725,0
18,21,35,23.2801227,94.94330457,6.368560522,111.1382096,19
11,132,197,15.99050693,81.23966573,5.734317007,74.40198861,7
36,67,25,35.95176642,36.52780776,6.418062652,136.0456753,18
5,29,44,21.02432943,93.0569505,5.578095745,104.7847006,19
99,6,45,26.12588914,86.5507939,6.000975617,40.71210074,21
8,7,10,28.2620488,91.98317355,6.929216014,105.2132259,16
95,30,52,29.48069921,90.33698678,6.640470863,26.0365768,15
34,16,25,30.07202564,50.96040505,6.10729559,92.09609766,12
22,16,27,29.1797902,90.27214288,6.006784979,188.9252083,4
34,47,19,27.31372793,85.44815232,6.568795404,53.15223123,14
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,18
6,139,199,25.67385024,81.6212135,6.29099842,74.10919422,7
33,12,8,25.26052689,90.31153735,6.822282114,117.3695296,16
18,12,8,12.59093977,91.81668769,6.206053072,119.3916718,16
27,8,30,26.44600063,98.29937782,6.008386283,221.2258168,4
90,23,54,28.55852465,90.45773041,6.159020864,27.26588346,15
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,3
15,6,41,19.0087067,88.83768149,6.897368477,108.6793978,19
86,40,33,26.1387869,52.26311691,7.432322234,136.3027766,5
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,3
120,25,50,28.05457761,94.81637388,6.327210469,21.84869328,15
6,124,200,22.98208095,93.84505029,5.971332179,109.5852253,0
31,48,45,40.78881819,92.90951393,6.563134737,132.7923586,17
34,15,34,27.05826457,91.10510371,5.677282678,224.7006953,4
85,21,47,29.87331077,90.60932469,6.186770318,24.69720481,15
120,48,16,22.46054478,75.40989245,7.456971816,71.85436078,6
7,23,35,19.75088482,88.71691157,7.054313823,102.5538035,19
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,1
62,56,35,25.97825807,81.65769588,6.235357638,163.3488091,8
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,3
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,11
18,23,8,21.49118657,93.43949693,6.41354791,101.4819888,16
29,71,18,22.17499963,62.13873825,6.410441476,53.46622584,10
118,31,34,27.54823036,62.88179198,6.123796057,181.4170812,5
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,11
117,25,54,28.68275966,92.50969311,6.150686364,29.11187663,15
40,79,17,21.12695586,63.18738532,6.403683619,38.71834464,10
38,77,22,28.234829,69.3159965,6.313284268,35.36831423,10
18,26,31,32.6112614,47.74916499,5.418475257,91.10190759,12
117,86,53,25.19640218,83.55829874,5.703381728,115.8586081,1
12,31,26,35.7877738,51.94190321,5.395275719,100.2160615,12
100,48,17,23.7805123,83.03878838,7.827877818,66.26555904,6
121,53,19,23.51308653,76.72621429,7.976889498,80.11272117,6
110,22,47,29.03157242,91.82172592,6.243673725,24.93861254,15
30,7,15,33.23453301,91.06053924,7.825531916,115.7659902,16
31,5,14,17.66545409,91.69865887,6.583411671,110.6857506,16
8,50,21,28.62911222,89.1148059,6.218923893,50.49913241,14
24,80,19,29.67892453,69.0854554,6.808041722,65.66436565,2
100,14,49,29.48882958,91.07574233,6.365956658,26.01909355,15
17,59,17,18.4167001,23.42829938,5.689858133,132.9801054,9
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,2
9,59,24,20.43517772,39.37252634,4.747352458,137.2279662,18
80,16,46,25.50405534,81.40297428,6.940236218,48.47833278,21
21,63,22,25.09737391,67.72837887,6.859409487,74.61649888,2
13,144,197,22.9215706,94.89613443,6.28022267,105.6941544,0
28,6,40,22.10621387,91.34039616,6.769855664,106.8704803,19
33,15,7,15.83388699,91.68293851,7.651225301,109.7571416,16
33,59,22,22.64236876,21.59396123,5.946999529,122.3886015,9
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,7
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,20
77,55,43,25.49941707,75.99987588,6.663559451,193.7141828,8
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,1
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,11
26,27,10,28.06903173,92.91487288,6.079998496,114.1339416,16
95,27,55,28.47212559,91.21322065,6.160414414,20.88620369,15
34,61,49,28.12971499,93.3210737,6.502675132,117.8201907,17
114,27,28,24.99451759,57.93250202,7.162802357,192.8736822,5
2,67,18,34.51934775,47.52980027,5.921666758,129.0064612,18
38,6,25,25.54963273,96.92786777,6.156259104,191.2996157,4
0,137,195,22.4359017,80.18612085,6.329499832,65.3973168,7
28,57,17,30.47757686,61.58245338,9.416003106,61.86633917,13
25,35,20,28.90245417,43.35365671,8.923095695,71.90018566,13
69,64,47,40.21199348,94.50766912,6.993473247,186.6762324,17
70,68,45,33.83508569,92.85470152,6.991626158,203.4044028,17
114,21,55,25.4438391,87.9392312,6.472756256,57.51549686,21
82,25,51,24.31334971,87.47409052,6.074209622,48.11248366,21
113,6,52,27.76317235,90.35567642,6.740983646,25.21609113,15
85,35,32,26.24928198,54.28617819,6.854011265,133.1120232,5
30,13,25,27.15116142,91.48889469,6.413184638,164.9182225,4
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,11
30,41,15,24.83206631,44.17085032,5.88509677,52.0810886,13
6,7,7,27.68167318,94.47316879,7.199106204,113.9995146,16
117,19,55,28.80311922,91.78336933,6.121745389,25.16359891,15
97,35,26,24.91461008,53.74144743,6.334610249,166.2549307,5
3,60,19,25.74679443,40.7192594,4.820788186,100.7791633,18
118,40,35,26.35034208,58.50650238,7.460174812,121.5586297,5
95,21,47,27.93114233,93.56161439,6.431970877,20.66127836,15
15,11,38,23.12808226,92.68328358,6.630646083,109.3930157,19
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,11
7,20,12,16.53460397,94.76759975,6.475275337,110.0447896,16
75,41,35,24.97042599,78.62697699,6.856833064,166.6415254,8
11,143,197,22.98458907,93.3204487,5.875718516,122.1952483,0
20,7,9,29.47741671,91.57802915,7.129136941,111.1727497,16
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,2
12,66,20,27.41434987,63.41785982,7.336117221,44.43177543,10
119,9,50,26.74550678,83.9195902,6.251286661,40.794305,21
40,45,20,29.37687468,57.69622912,6.878498176,38.34303462,13
27,138,201,23.66682067,93.90191078,5.952367662,105.4004751,0
4,59,19,26.25070298,67.62779652,7.621494566,40.8106299,10
108,23,51,26.84366082,83.85039964,6.106500787,40.228644,21
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,11
37,55,82,19.45591848,18.02235902,8.423873703,78.44910564,3
82,20,54,29.34033587,90.01506395,6.541150335,21.44532907,15
38,61,52,31.22790131,94.94021378,6.620729882,46.44279118,17
6,68,18,24.388717,62.50453062,6.711341147,47.26052494,10
2,40,27,29.73770045,47.54885174,5.954626604,90.09586854,12
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,1
19,24,15,20.48954522,93.72485075,7.137136973,111.8391951,16
22,59,23,27.32220619,51.27868781,4.371745575,36.5037914,13
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,9
106,85,53,27.1994597,78.8086068,5.91505509,99.72430835,1
89,91,55,25.08347445,80.261731,6.275572298,94.32961456,1
7,63,24,19.55750776,64.45268309,6.818681086,53.04669416,10
33,77,21,30.32992227,65.62971858,7.01285529,71.64631281,2
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,3
2,140,197,22.69780133,92.82223419,5.53456749,105.0508234,0
13,23,6,23.96147583,90.26408017,7.365338111,102.6958703,16
16,10,41,24.77464458,85.63608688,6.738993954,105.7595811,19
33,31,34,31.32995611,50.22287593,5.421265283,89.78216168,12
119,25,51,26.47330219,80.92254421,6.283818329,53.65742581,21
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,14
42,60,47,33.46873719,92.12746225,6.834808348,136.8277041,17
109,21,55,24.9004602,89.73524177,6.770278088,57.44942094,21
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,1
127,53,24,22.21506982,76.17851932,6.127939628,70.40557612,6
40,16,35,31.89356292,49.02450149,6.4841522,89.59371481,12
38,21,35,20.33691147,89.38003827,5.841367187,110.9653137,19
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,20
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,3
96,18,50,25.3310446,84.30533791,6.904241707,41.53218699,21
133,57,19,23.54234715,75.98203329,7.947011366,84.12536744,6
39,42,20,29.3499706,61.25353851,8.055908858,40.82840673,13
5,32,33,32.32362177,52.5896771,5.842763773,93.36718816,12
129,60,22,24.58453146,79.12404171,5.947448589,71.94608134,6
131,52,16,23.65724079,84.47601498,6.486068274,88.54479121,6
5,68,20,19.04380471,33.10695144,6.12166671,155.3705624,18
95,16,46,27.0767265,90.14362622,6.74669542,24.4514648,15
27,24,41,24.32770134,90.88292835,6.610251186,110.4606459,19
93,94,53,25.86632408,84.42379269,6.079178788,114.5357503,1
105,18,35,23.52648086,68.44030686,6.743417121,171.8839938,5
36,61,21,34.53823889,39.04468913,5.617008201,168.5948318,18
26,63,17,29.87854588,65.73085206,6.950300686,44.95654782,10
31,29,26,28.22373428,47.40519056,5.024124684,97.76832322,12
89,47,38,25.52468965,72.24850829,6.002524871,151.8869972,8
3,67,24,17.00067625,19.90790546,5.520880014,103.2926407,9
90,86,52,25.85036988,81.95580471,5.793260262,119.0856171,1
31,25,12,18.05142392,90.03969587,7.016482298,111.7793889,16
48,65,78,17.43732714,14.33847406,7.861128148,73.0926704,3
111,41,18,23.64328417,78.1258666,6.10539819,80.96157332,6
11,122,195,12.14190714,83.56812483,5.647202395,69.63122027,7
0,55,22,22.98666928,20.57940608,5.916779289,143.8584938,9
6,37,17,28.08657178,80.35005927,6.760694228,38.14476781,14
81,18,50,26.44019475,80.91934337,6.507110986,47.81847573,21
12,80,19,21.91041045,65.21662467,5.962001484,36.10211371,10
22,55,20,33.95309131,69.96100028,7.423530351,61.16350463,2
4,40,21,28.79728147,80.45744422,6.725551062,44.30070517,14
118,15,45,24.21495706,84.20576992,6.538006356,48.01138482,21
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,20
16,14,30,29.70931288,96.30484325,6.37466756,209.8453993,4
120,24,47,26.98603693,89.4138489,6.260838965,58.54876687,21
111,27,31,23.59302313,55.27564977,6.043330951,191.3980675,5
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,11
12,129,205,22.36238282,91.15761594,6.119432215,118.6832725,0
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,20
23,65,20,23.0429097,22.42610972,5.833940084,108.3684316,9
129,43,16,25.5503704,77.85055621,6.73210948,78.58488484,6
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,11
27,59,20,28.00937423,52.60950014,4.397698806,36.01203025,13
113,33,34,26.00373964,62.1445102,6.559817161,153.477776,5
27,80,15,19.07096165,21.21092266,5.788386951,86.21917578,9
32,20,35,26.52166434,98.38227669,5.588655387,144.6261698,4
34,60,22,17.66148158,18.15302753,5.635231778,100.6711761,9
22,60,85,18.8392908,14.74071856,7.811997977,94.78189594,3
61,68,50,35.21462816,91.49725058,6.793245417,243.0745066,17
3,9,45,23.89162561,89.61850203,6.535244251,104.617522,19
34,48,48,41.04224355,91.37258067,6.805277038,181.527598,17
117,24,53,29.17220859,92.21405224,6.293486295,21.30290472,15
58,67,45,38.72382798,91.72514851,6.702424548,62.62377075,17
31,20,26,25.56567803,97.61361544,6.443168642,199.7936345,4
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,11
27,56,22,19.91853092,20.70099804,5.833010958,108.6434544,9
18,79,20,20.27514686,23.2353604,5.877347515,139.7521543,9
82,24,26,24.31274458,53.57285558,6.089443603,184.4103931,5
35,138,200,21.19909519,90.80819418,5.67130617,103.6838922,0
7,56,23,26.33908791,40.00933429,5.545219232,55.50429227,13
25,27,41,19.20090378,94.27659596,6.923509371,108.0423555,19
22,55,24,28.56800579,57.30636014,8.66077954,64.53027638,13
18,57,21,27.37659643,63.93927841,6.155915975,49.47371773,10
16,71,24,18.33124824,38.40975482,4.946369874,139.6483317,18
29,11,5,23.13338811,91.94670335,7.639788459,104.4224145,16
35,63,76,17.81564548,17.60756635,7.714153038,90.82097601,3
28,145,202,19.2077707,82.9042841,6.484323189,66.83113717,7
14,59,22,23.82723528,67.89815262,6.76660668,46.90725077,10
132,41,22,24.29144926,81.02453404,7.810865753,90.41694635,6
33,47,17,24.86803974,48.27531965,8.621514073,63.9187654,13
7,77,18,20.5591255,60.54880693,6.655918078,191.0895109,18
71,54,35,26.63952463,70.95705996,7.311077075,199.3355744,8
16,80,20,31.24021696,56.67369054,7.339320929,122.0146733,18
32,12,30,25.39241091,98.08951196,5.579845008,218.080385,4
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,3
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,3
15,133,199,23.99686172,91.61001707,5.824778636,117.6102915,0
16,75,21,18.50692825,23.61670065,5.679224346,87.0513289,9
36,7,37,19.8671184,86.35590206,5.782435567,108.3168858,19
9,21,32,32.26935342,53.56092806,5.870116071,95.94035356,12
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206,14
23,75,17,24.87425505,64.00213929,7.198076286,48.28137482,10
34,6,30,27.0828252,97.00155491,5.948342571,171.7575545,4
75,36,44,23.28081,74.27607475,6.613341343,153.7447398,8
20,40,15,29.57329479,88.07505524,7.199495368,45.04467075,14
3,23,30,29.70143197,95.65754365,6.078807239,215.1968037,4
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,2
14,74,19,18.39759147,36.82639309,6.624966131,93.12330644,18
0,19,33,27.1326009,95.23797989,6.234458417,204.7206567,4
4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,10
39,24,31,33.55695561,53.72979826,4.757114897,98.67527561,12
90,39,43,24.44743944,82.286484,6.7693455,190.9684885,8
113,19,46,25.41864024,81.12122989,6.286387658,49.52320689,21
31,55,22,22.91350245,21.33953114,5.873171894,109.225556,9
9,60,23,31.96987867,57.17377029,6.276004336,64.25520357,13
4,136,204,29.93707596,81.77713468,5.898944282,65.52279323,7
51,57,55,24.70528368,90.14732171,6.676407337,108.4103158,17
36,59,46,34.28879307,93.61082872,6.721130543,127.2509777,17
24,73,20,19.63736208,32.31528909,4.608695247,176.4134092,18
37,137,199,22.63946441,90.18451645,5.697945522,108.3405879,0
2,72,18,26.57597546,60.97876599,7.836719564,50.89110726,10
10,59,15,29.83040388,89.30428305,6.32400451,58.86687093,14
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,11
18,14,11,28.04799508,90.00621688,6.550814117,117.1311498,16
26,64,22,25.95058595,40.58227261,5.16516459,109.1821183,18
100,10,53,24.54356968,84.60808277,6.211748957,42.00660251,21
32,13,42,23.50128217,92.97527546,5.786058032,106.61905,19
118,12,47,27.96872279,92.17444796,6.010739645,28.94766949,15
52,71,16,27.74274761,68.53997144,7.075886472,71.78615328,2
29,25,14,30.49183837,90.4582865,7.781988584,113.3302105,16
28,66,23,21.53989176,24.25386207,5.99616119,120.6913038,9
32,145,203,23.83053666,90.84422164,6.406818518,109.5966791,0
11,44,17,26.34043268,55.59160391,8.016210782,35.1051197,13
24,30,11,32.39523995,94.51768464,6.601395755,113.25373,16
101,87,54,29.07311132,76.50045221,6.376756633,100.1692639,1
34,60,23,20.12574053,24.96969858,5.659254981,100.0497183,9
31,36,29,33.93679864,52.72170281,6.460542749,97.4611918,12
10,71,18,19.54284889,66.34777265,6.151029296,173.1106982,18
56,76,16,28.27265858,61.18956161,7.513151076,63.29900785,2
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,14
48,62,47,25.34756111,93.02871078,6.803094965,174.4012337,17
28,37,28,32.13409675,50.52559148,6.097869767,98.63333684,12
62,59,41,24.2248758,74.89465426,7.175170657,192.4931257,8
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,1
7,28,35,30.02086169,46.78393776,4.66910839,96.63721027,12
117,56,15,25.99237426,77.0543546,7.368258226,89.1188212,6
39,138,203,21.19339319,82.33098331,6.399433771,74.62834921,7
99,6,46,28.61475136,94.22253035,6.39637861,28.98574189,15
49,69,82,18.31561493,15.36143547,7.26311855,81.78710463,3
99,29,55,29.19378695,91.46241065,6.660954816,26.48240255,15
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,11
34,60,25,29.78416743,85.16906976,6.79385576,40.77872823,14
39,28,10,31.34920143,91.48247612,7.181907673,109.1549823,16
42,59,55,40.10207731,94.35110201,6.979102243,149.1199989,17
95,37,35,27.31317116,68.4233391,6.348337519,192.4288139,5
18,12,35,26.13958446,96.38580769,6.338720873,131.3387935,4
121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,6
98,22,47,29.07265321,91.91533173,6.341400922,28.83568362,15
30,122,197,21.37784654,92.72043743,5.573241391,106.1417017,0
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,1
16,145,199,26.91624843,80.76838926,5.953966361,69.30927185,7
13,144,204,30.7280404,82.42614055,6.092241627,68.38135469,7
67,41,40,25.848795,87.81661683,7.333143205,152.6194403,8
131,38,19,23.86814008,75.68339729,6.814341946,90.4547185,6
21,31,32,35.38598705,51.42664176,5.254532213,90.29643888,12
24,21,42,20.82210727,87.22815682,6.999014379,109.4429934,19
30,64,20,33.8642935,61.57072498,6.573531614,68.02199825,2
8,28,37,23.88404783,86.20613842,6.082571701,108.3121789,19
16,130,201,29.12033769,82.79092939,5.682395429,68.8503047,7
94,91,51,29.16093424,76.67484233,5.618094446,109.575944,1
133,50,25,25.72180042,81.19666206,7.569454601,99.93100821,6
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,11
86,31,35,27.01207284,60.76645256,6.485761419,191.4508931,5
32,57,18,15.53834801,23.75560241,5.695422863,107.3850593,9
39,57,19,29.32379604,45.93248374,6.421748487,165.4113371,18
9,48,22,27.77076285,87.09979549,6.402926221,49.50812624,14
87,6,45,29.82729394,90.79007335,6.40077205,22.84203589,15
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,14
6,62,22,20.53052663,18.09224048,5.824090984,120.4509288,9
89,28,33,26.44414097,53.83876189,6.993236001,175.3723314,5
108,36,19,22.78249615,77.51235009,7.238566893,64.61444234,6
57,57,51,39.01793345,91.48815629,6.99223441,105.8841531,17
23,45,21,31.46511256,51.79939437,8.985348193,74.44330654,13
99,92,47,28.1279509,77.48247073,6.323933647,103.5045395,1
97,25,50,26.22005978,80.90127035,6.093814669,49.08553937,21
5,144,205,21.42177231,92.62665309,6.184922574,102.8045658,0
29,145,205,22.81227579,92.12992101,6.212302608,109.3383552,0
134,56,18,23.80834611,83.91902605,6.691268104,70.97358303,6
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,14
27,43,23,31.70447482,56.85420099,5.875333778,44.94317432,13
21,21,38,22.5526059,89.3259486,6.327673765,104.8955643,19
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,14
14,48,21,29.24598976,84.80084105,6.991242362,53.43228915,14
14,55,15,27.33580911,55.27755933,8.050304395,73.44775287,13
9,25,41,24.81530144,91.90842992,5.972714857,109.2853418,19
16,70,20,24.80467592,40.1242747,5.6093956,121.5639121,18
2,21,35,25.02887163,91.53720922,6.293662363,179.8248944,4
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,3
22,26,38,22.92052307,85.12912161,6.988035315,110.2437841,19
35,38,19,25.32688786,63.18180319,9.112771682,32.71129281,13
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,2
26,35,31,33.44619894,53.05980465,5.339556562,98.05089394,12
89,22,52,24.89681131,86.10782926,6.217300786,53.14626213,21
49,72,15,31.55846339,67.83563765,7.137004749,74.86960831,2
92,21,48,25.81692236,82.043255,6.377427122,54.82963379,21
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,9
116,28,34,23.44372334,60.39523266,6.42321105,122.2103248,5
22,11,29,28.03380598,95.01630593,5.955742971,218.0055713,4
56,59,55,37.03551903,91.79430166,6.551892638,188.5181422,17
69,47,40,25.37122686,76.2403666,6.130136384,183.8270791,8
4,20,25,28.93270187,47.94053996,5.664587011,99.9834242,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,20
25,129,195,17.98667801,81.17712085,5.777271492,72.37127689,7
27,139,205,22.48403042,93.40819246,5.772179946,105.5473627,0
9,139,199,23.25230817,94.54128292,5.867420996,105.3558408,0
23,57,19,32.83963757,67.99803573,7.251000789,73.40452716,2
3,49,18,27.91095209,64.70930606,3.692863601,32.67891866,13
47,46,52,23.19451074,91.40301608,6.502289473,206.3999208,17
